income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$40,000 to $49,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;Three;None;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Male;Single, never married;18 thru 24;Grades 9 to 11;Factory Worker/Laborer/Driver;One to three years;Not Married;NA;None;Rent;Apartment;Black;English
$30,000 to $39,999;Male;Single, never married;14 thru 17;Grades 9 to 11;Retired;More than ten years;Not Married;Six;Five;Live with Parents/Family;House;Black;English
$25,000 to $29,999;Male;Living together, not married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Two;None;Own;House;Black;English
$50,000 to $74,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Two;None;Rent;NA;Black;English
$50,000 to $74,999;Female;Living together, not married;18 thru 24;1 to 3 years of college;Professional/Managerial;Seven to ten years;Not Married;NA;None;Own;House;Black;Spanish
$25,000 to $29,999;Female;NA;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;Two;Own;House;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;Apartment;Black;English
$15,000 to $19,999;Male;NA;14 thru 17;Grades 9 to 11;Unemployed;More than ten years;No;Two;One;Live with Parents/Family;Apartment;Black;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Three;None;Live with Parents/Family;House;Black;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Military;One to three years;Not Married;NA;None;NA;NA;Black;English
$20,000 to $24,999;Male;Living together, not married;18 thru 24;1 to 3 years of college;Professional/Managerial;NA;No;Three;One;Rent;NA;Black;English
$15,000 to $19,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Military;More than ten years;Not Married;Four;Three;Live with Parents/Family;House;Black;English
$40,000 to $49,999;Male;Divorced or separated;35 thru 44;College graduate;Professional/Managerial;Seven to ten years;Not Married;Two;None;Rent;House;Black;English
$10,000 to $14,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Unemployed;Seven to ten years;Not Married;Six;Two;Live with Parents/Family;Apartment;Black;English
$25,000 to $29,999;Female;Single, never married;25 thru 34;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Own;House;Black;English
$40,000 to $49,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;NA;None;NA;NA;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Black;English
$20,000 to $24,999;Female;Living together, not married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;Black;English
$25,000 to $29,999;Female;Single, never married;35 thru 44;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Two;One;Own;House;Black;English
$30,000 to $39,999;Male;Single, never married;25 thru 34;Graduated high school;Unemployed;One to three years;Not Married;Three;None;Rent;Apartment;Black;English
$30,000 to $39,999;Male;Divorced or separated;45 thru 54;Graduated high school;Clerical/Service Worker;One to three years;Not Married;Four;None;Rent;Apartment;Black;English
$30,000 to $39,999;Male;Single, never married;25 thru 34;College graduate;Sales Worker;One to three years;Not Married;One;None;Rent;Apartment;Black;English
$15,000 to $19,999;Female;Married;18 thru 24;Graduated high school;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Apartment;Black;English
$10,000 to $14,999;Male;Married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;Four to six years;No;NA;None;Rent;House;Black;English
$25,000 to $29,999;Female;Married;18 thru 24;1 to 3 years of college;Unemployed;More than ten years;No;Two;None;Own;House;Black;English
$25,000 to $29,999;Male;Married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Two;None;Rent;Apartment;Black;English
$10,000 to $14,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;One to three years;Not Married;Two;One;Rent;Apartment;Black;English
$20,000 to $24,999;Male;Single, never married;25 thru 34;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Not Married;Three;None;Live with Parents/Family;House;Black;English
$25,000 to $29,999;Female;Married;25 thru 34;College graduate;Professional/Managerial;NA;Yes;Three;None;Rent;House;Black;English
$15,000 to $19,999;Male;Widowed;55 thru 64;1 to 3 years of college;Retired;More than ten years;Not Married;One;None;Own;House;Black;English
$40,000 to $49,999;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Four;Two;Rent;House;Black;English
$40,000 to $49,999;Male;Single, never married;14 thru 17;Grade 8 or less;Unemployed;NA;Not Married;Four;Two;Rent;House;Black;English
$40,000 to $49,999;Female;Widowed;45 thru 54;Grad Study;Student, HS or College;More than ten years;Not Married;Three;Two;Own;NA;White;English
$40,000 to $49,999;Male;Married;55 thru 64;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Four;One;Own;House;Pacific Islander;English
$30,000 to $39,999;Female;Married;25 thru 34;Grades 9 to 11;Homemaker;One to three years;Yes;Four;None;Rent;Apartment;American Indian;English
$10,000 to $14,999;Female;Living together, not married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Three;None;Rent;Apartment;Black;English
$15,000 to $19,999;Male;Living together, not married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;Three;None;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Three;None;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;NA;Not Married;Four;None;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;NA;Not Married;NA;None;Live with Parents/Family;Apartment;Black;English
$10,000 to $14,999;Female;Single, never married;25 thru 34;Graduated high school;Homemaker;More than ten years;Not Married;Five;Four;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;NA;Not Married;Four;Three;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;NA;Not Married;Four;Three;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;NA;Not Married;Three;One;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;One to three years;Not Married;Four;One;Live with Parents/Family;Apartment;Black;English
$15,000 to $19,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Three;None;Rent;Condominium;Black;English
$40,000 to $49,999;Female;Widowed;65 and Over;Graduated high school;Retired;NA;Not Married;One;None;Rent;House;Black;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$10,000 to $14,999;Male;Living together, not married;35 thru 44;1 to 3 years of college;Unemployed;One to three years;Not Married;Four;None;Rent;Apartment;White;English
$50,000 to $74,999;Male;Married;35 thru 44;College graduate;Professional/Managerial;NA;No;NA;None;NA;NA;White;NA
Less than $10,000;Male;Single, never married;25 thru 34;1 to 3 years of college;Unemployed;More than ten years;Not Married;One;None;NA;NA;White;English
$50,000 to $74,999;Male;Single, never married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Not Married;Eight;Three;Live with Parents/Family;House;Hispanic;Spanish
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Two;One;Live with Parents/Family;Apartment;Hispanic;English
Less than $10,000;Male;Living together, not married;25 thru 34;College graduate;Factory Worker/Laborer/Driver;One to three years;Not Married;Two;None;NA;Apartment;Black;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Unemployed;More than ten years;Not Married;One;None;Own;Other;Black;English
$10,000 to $14,999;Male;Single, never married;65 and Over;College graduate;Retired;NA;Not Married;One;None;Rent;Apartment;White;English
Less than $10,000;Male;Single, never married;65 and Over;College graduate;Military;Seven to ten years;Not Married;One;None;Rent;House;White;English
$50,000 to $74,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Five;One;Live with Parents/Family;House;White;English
$50,000 to $74,999;Male;Single, never married;45 thru 54;Grad Study;Professional/Managerial;NA;Not Married;One;None;Rent;Apartment;White;NA
$50,000 to $74,999;Female;Single, never married;18 thru 24;Grad Study;Student, HS or College;NA;Not Married;Four;None;Live with Parents/Family;House;White;English
$75,000 or more;Male;Widowed;18 thru 24;Graduated high school;Retired;More than ten years;Not Married;Nine or more;Nine or more;Own;House;Other;Other
Less than $10,000;Male;Living together, not married;65 and Over;Grad Study;Professional/Managerial;NA;Not Married;Four;Two;Rent;Apartment;NA;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;NA;Not Married;Three;None;Rent;Apartment;Asian;English
Less than $10,000;Female;Single, never married;18 thru 24;Grad Study;Student, HS or College;One to three years;Not Married;One;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Single, never married;45 thru 54;College graduate;Professional/Managerial;Four to six years;Not Married;One;None;Rent;Apartment;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Military;Four to six years;Not Married;One;None;Live with Parents/Family;Other;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Student, HS or College;One to three years;Not Married;One;None;Rent;House;White;English
$15,000 to $19,999;Male;Single, never married;25 thru 34;College graduate;Student, HS or College;More than ten years;Not Married;Four;None;Live with Parents/Family;House;White;English
$25,000 to $29,999;Male;Single, never married;35 thru 44;College graduate;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Grades 9 to 11;Military;Less than one year;Not Married;Six;Two;Live with Parents/Family;NA;White;NA
$20,000 to $24,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;Less than one year;Not Married;One;None;Rent;Other;White;English
$25,000 to $29,999;Male;Single, never married;25 thru 34;Graduated high school;NA;NA;Not Married;NA;None;Rent;House;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;Five;None;Rent;House;White;English
Less than $10,000;Female;Living together, not married;18 thru 24;Graduated high school;Homemaker;More than ten years;Not Married;Six;None;Rent;Other;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;One to three years;Not Married;Three;None;Rent;Other;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Grades 9 to 11;Homemaker;One to three years;Not Married;Three;None;Rent;Other;White;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;Grades 9 to 11;Unemployed;More than ten years;Not Married;Four;One;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;Other;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Grades 9 to 11;Professional/Managerial;One to three years;Not Married;Two;None;Rent;NA;American Indian;English
Less than $10,000;Male;Living together, not married;18 thru 24;1 to 3 years of college;Sales Worker;One to three years;No;Two;Two;NA;NA;White;English
